Date,OuncesPerShare,OuncesSold,ProceedsPerShare
10/28/2022,0.01898322,,
10/29/2022,0.01898322,,
10/30/2022,0.01898322,,
10/31/2022,0.01898322,0.00000418,0.00688348
11/1/2022,0.01898323,,
11/2/2022,0.01897904,,
11/3/2022,0.01897904,,
11/4/2022,0.01897904,,
11/5/2022,0.01897904,,
11/6/2022,0.01897904,,
11/7/2022,0.01897904,,
11/8/2022,0.01897904,,
11/9/2022,0.01897904,,
11/10/2022,0.01897904,,
11/11/2022,0.01897904,,
11/12/2022,0.01897904,,
11/13/2022,0.01897904,,
11/14/2022,0.01897904,,
11/15/2022,0.01897904,,
11/16/2022,0.01897904,,
11/17/2022,0.01897904,,
11/18/2022,0.01897905,,
11/19/2022,0.01897905,,
11/20/2022,0.01897905,,
11/21/2022,0.01897905,,
11/22/2022,0.01897905,,
11/23/2022,0.01897904,,
11/24/2022,0.01897904,,
11/25/2022,0.01897905,,
11/26/2022,0.01897905,,
11/27/2022,0.01897905,,
11/28/2022,0.01897905,,
11/29/2022,0.01897905,,
11/30/2022,0.01897905,0.00000374,0.00675073
12/1/2022,0.01900392,,
12/2/2022,0.01900013,,
12/3/2022,0.01900013,,
12/4/2022,0.01900013,,
12/5/2022,0.01900013,,
12/6/2022,0.01897531,,
12/7/2022,0.01897531,,
12/8/2022,0.01897531,,
12/9/2022,0.01897531,,
12/10/2022,0.01897531,,
12/11/2022,0.01897531,,
12/12/2022,0.01897531,,
12/13/2022,0.01897531,,
12/14/2022,0.01897531,,
12/15/2022,0.01897531,,
12/16/2022,0.01897531,,
12/17/2022,0.01897531,,
12/18/2022,0.01897531,,
12/19/2022,0.01897531,,
12/20/2022,0.01897531,,
12/21/2022,0.01897531,,
12/22/2022,0.01897531,,
12/23/2022,0.01897531,,
12/24/2022,0.01897531,,
12/25/2022,0.01897531,,
12/26/2022,0.01897531,,
12/27/2022,0.01897531,,
12/28/2022,0.01897531,,
12/29/2022,0.01897531,,
12/30/2022,0.01897531,,
12/31/2022,0.01897531,0.00000393,0.00724784
1/1/2023,0.01897531,,
1/2/2023,0.01897531,,
1/3/2023,0.01897531,,
1/4/2023,0.01897138,,
1/5/2023,0.01897138,,
1/6/2023,0.01897138,,
1/7/2023,0.01897138,,
1/8/2023,0.01897138,,
1/9/2023,0.01897138,,
1/10/2023,0.01897138,,
1/11/2023,0.01897138,,
1/12/2023,0.01897138,,
1/13/2023,0.01897138,,
1/14/2023,0.01897138,,
1/15/2023,0.01897138,,
1/16/2023,0.01897138,,
1/17/2023,0.01897138,,
1/18/2023,0.01897138,,
1/19/2023,0.01897138,,
1/20/2023,0.01897137,,
1/21/2023,0.01897137,,
1/22/2023,0.01897137,,
1/23/2023,0.01897137,,
1/24/2023,0.01897137,,
1/25/2023,0.01897137,,
1/26/2023,0.01897137,,
1/27/2023,0.01897137,,
1/28/2023,0.01897137,,
1/29/2023,0.01897137,,
1/30/2023,0.01897137,,
1/31/2023,0.01897138,0.00000395,0.00759949
2/1/2023,0.01897138,,
2/2/2023,0.01896743,,
2/3/2023,0.01896743,,
2/4/2023,0.01896743,,
2/5/2023,0.01896743,,
2/6/2023,0.01896743,,
2/7/2023,0.01896743,,
2/8/2023,0.01896743,,
2/9/2023,0.01896743,,
2/10/2023,0.01896743,,
2/11/2023,0.01896743,,
2/12/2023,0.01896743,,
2/13/2023,0.01896743,,
2/14/2023,0.01896744,,
2/15/2023,0.01896744,,
2/16/2023,0.01896744,,
2/17/2023,0.01896746,,
2/18/2023,0.01896746,,
2/19/2023,0.01896746,,
2/20/2023,0.01896746,,
2/21/2023,0.01896746,,
2/22/2023,0.01896746,,
2/23/2023,0.01896746,,
2/24/2023,0.01896746,,
2/25/2023,0.01896746,,
2/26/2023,0.01896746,,
2/27/2023,0.01896746,,
2/28/2023,0.01896746,0.00000370,0.00681156
3/1/2023,0.01896747,,
3/2/2023,0.01896376,,
3/3/2023,0.01896376,,
3/4/2023,0.01896376,,
3/5/2023,0.01896376,,
3/6/2023,0.01896377,,
3/7/2023,0.01896377,,
3/8/2023,0.01896377,,
3/9/2023,0.01896377,,
3/10/2023,0.01896377,,
3/11/2023,0.01896377,,
3/12/2023,0.01896377,,
3/13/2023,0.01896377,,
3/14/2023,0.01896377,,
3/15/2023,0.01896377,,
3/16/2023,0.01896377,,
3/17/2023,0.01896377,,
3/18/2023,0.01896377,,
3/19/2023,0.01896377,,
3/20/2023,0.01896376,,
3/21/2023,0.01896376,,
3/22/2023,0.01896376,,
3/23/2023,0.01896376,,
3/24/2023,0.01896376,,
3/25/2023,0.01896376,,
3/26/2023,0.01896376,,
3/27/2023,0.01896376,,
3/28/2023,0.01896375,,
3/29/2023,0.01896375,,
3/30/2023,0.01896375,,
